Method,Size_KB,Latency_ms,PSNR,SSIM,NCE,LPIPS
ReLU_Baseline,378.22,77.04,27.76782153104505,0.7726952161010754,0.9841247893523634,0.5024480223655701
SIREN_Tiny,31.77,24.71,27.58789847932567,0.7702519787250467,0.9834454373146064,0.5033586025238037
SIREN_Medium,238.46,82.44,30.107067178955326,0.8442628143009484,0.9908078843900154,0.36575812101364136
SIREN_Large,356.81,137.57,31.259365442944357,0.8422340488073062,0.9929498185637898,0.32987985014915466
