Method,Size_KB,Latency_ms,PSNR,SSIM,NCE,LPIPS
JPEG_Q10,44.50390625,1.8320083618164062,25.685004535038402,0.6305345380788695,0.9750158900693826,0.5715775489807129
JPEG_Q20,68.453125,14.99485969543457,27.45429334044736,0.6906278752897231,0.9833756380127917,0.4786951541900635
JPEG_Q30,94.46875,5.950927734375,28.486493795157028,0.7333467959493963,0.986913871759054,0.3861081600189209
JPEG_Q40,118.63671875,4.513263702392578,29.22262091294561,0.7625895822082337,0.9889648627757947,0.3364281952381134
JPEG_Q50,141.9326171875,7.153034210205078,29.834626047169994,0.7848714470350231,0.9904206309547594,0.30109989643096924
JPEG_Q60,167.2099609375,7.60960578918457,30.462894571356763,0.8050155845658541,0.991714253869629,0.2695910334587097
JPEG_Q70,206.2822265625,3.844022750854492,31.284552907511664,0.8304960478498913,0.9931471583069279,0.23302969336509705
JPEG_Q80,272.7822265625,10.878562927246094,32.45218738563071,0.8654021341357371,0.9947669879883227,0.1790843904018402
JPEG_Q90,433.357421875,8.243083953857422,34.781252686381556,0.9227779611217245,0.9969422684443486,0.0906946212053299
JPEG_Q100,1238.9404296875,17.829418182373047,39.1048277460432,0.9811358533984894,0.9988719508965292,0.011653116904199123
