Method,Size_KB,Latency_ms,PSNR,SSIM,NCE,LPIPS
ReLU_Baseline,780.181640625,465.98315238952637,26.567056928507462,0.7130794160891806,0.9792785348591542,0.5245852470397949
SIREN_Tiny,92.482421875,83.5578441619873,22.959486568930757,0.5140113525710955,0.9512054130281992,0.5959304571151733
SIREN_Med,778.064453125,745.6347942352295,26.954174801361248,0.6775387463440096,0.9807931866961113,0.5262261033058167
SIREN_Large,2979.3798828125,2850.430727005005,29.872295758165812,0.7690843964539095,0.9902510876795599,0.42769181728363037
