Method,Size_KB,Latency_ms,PSNR,SSIM,NCE,LPIPS
Hash_Small,92.95,29.58,30.03498790889597,0.8403809179535257,0.9906238041457991,0.41947996616363525
Hash_Medium,306.29,40.41,34.430157896828284,0.9127734692459605,0.9966288080179907,0.3040275573730469
Hash_Large,992.06,163.31,40.14948670881676,0.9611222325651574,0.9991238893144953,0.1845482587814331
